consultancy_name,state,area_district,students_applied,successful_applications,consultancy_fee_inr,commission_fee_inr,total_fee_inr,rating,reviews,primary_country,us_applications_pct,uk_applications_pct,germany_applications_pct
Path Solutions,Goa,North Goa,1923,1329,16000,800,16800,5,775,UK,20,58,22
Elite Guidance,Uttar Pradesh,Lucknow,133,89,26000,1300,27300,4.8,3023,US,45,25,30
Global Pathways,Jammu and Kashmir,Anantnag,134,83,66000,3300,69300,4.2,1822,Germany,12,23,65
Apex Advisors,Chhattisgarh,Bilaspur,4573,3582,60000,3000,63000,3.3,2614,UK,15,77,8
Pinnacle Solutions,Jharkhand,Deoghar,3947,2521,44000,2200,46200,3.1,2707,Germany,12,21,67
Global Advisors,Nagaland,Kohima,4291,3544,37000,1850,38850,3.9,824,US,54,14,32
Path Services,Uttarakhand,Haldwani,147,107,40000,2000,42000,4.6,4213,UK,12,56,32
Elite Mentors,Odisha,Berhampur,2312,1410,14000,700,14700,5,2153,UK,24,45,31
Pinnacle Solutions,Tripura,Udaipur,3973,2748,24000,1200,25200,4.6,3256,Germany,5,26,69
Premier Guidance Global,Himachal Pradesh,Mandi,1806,1162,37000,1850,38850,3.2,2879,US,69,16,15
Pinnacle Mentors,West Bengal,Durgapur,3923,3148,31000,1550,32550,4.2,2715,UK,12,77,11
Global Pathways,Bihar,Gaya,4864,3929,31000,1550,32550,3.2,506,UK,6,73,21
Elite Group Network,Mizoram,Champhai,4566,3880,74000,3700,77700,4.1,4181,Germany,34,19,47
Horizon Ventures,Telangana,Karimnagar,3243,2686,30000,1500,31500,4.9,2058,UK,31,60,9
Summit Pathways,Odisha,Berhampur,4409,4078,61000,3050,64050,4,4712,UK,44,46,10
Premier Services Network,Karnataka,Hubballi,2043,1542,28000,1400,29400,3.8,2147,US,54,8,38
Apex Pathways,Uttarakhand,Rishikesh,3147,2251,33000,1650,34650,3.3,4098,Germany,11,24,65
Global Consultants,Mizoram,Serchhip,3618,2786,34000,1700,35700,3.2,3030,Germany,15,5,80
Path Ventures,Delhi,Dwarka,3228,2312,51000,2550,53550,4.8,3204,UK,21,45,34
Global Consultants,Sikkim,Namchi,3373,2063,16000,800,16800,4.5,974,UK,12,67,21
Apex Group Network,Manipur,Thoubal,1912,1773,37000,1850,38850,4,237,Germany,17,11,72
Gateway Advisors Global,Kerala,Kozhikode,1829,1180,20000,1000,21000,4.4,2069,US,74,12,14
Study Mentors Global,Sikkim,Namchi,4700,2857,10000,500,10500,4.6,27,US,68,14,18
Path Group,Tripura,Udaipur,1294,1165,57000,2850,59850,3.9,3603,US,63,8,29
Apex Services,West Bengal,Durgapur,4763,3178,34000,1700,35700,3.1,1019,Germany,26,6,68
Apex Advisors,Gujarat,Vadodara,2968,2498,55000,2750,57750,4.2,1724,UK,18,68,14
Apex Ventures,Chhattisgarh,Durg,3673,2367,66000,3300,69300,3.7,952,UK,10,76,14
Elite Advisors,Bihar,Muzaffarpur,250,204,73000,3650,76650,5,4278,Germany,11,14,75
Path Solutions,Mizoram,Lunglei,2345,2219,65000,3250,68250,3.6,1159,US,63,29,8
Path Solutions,West Bengal,Darjeeling,4075,2799,15000,750,15750,3.2,4018,Germany,8,34,58
Vision Experts,Manipur,Thoubal,2360,2227,22000,1100,23100,4,1269,US,49,46,5
Overseas Services,Kerala,Thrissur,3014,2444,44000,2200,46200,4.5,1559,UK,11,76,13
Study Advisors,Mizoram,Champhai,3847,3418,37000,1850,38850,4.5,2591,US,61,6,33
Elite Experts,Chhattisgarh,Durg,3725,3375,10000,500,10500,4.4,1258,Germany,26,15,59
Summit Mentors Network,Punjab,Amritsar,543,445,49000,2450,51450,4,3347,UK,35,54,11
Pioneer Experts,Sikkim,Gyalshing,3237,2123,34000,1700,35700,3.8,2947,UK,20,54,26
Pioneer Ventures,Karnataka,Mysuru,4711,3105,39000,1950,40950,3.5,1602,Germany,45,5,50
Apex Guidance,Kerala,Thiruvananthapuram,4566,4085,75000,3750,78750,4.8,2562,US,55,18,27
Overseas Consultants,Manipur,Imphal,3602,2804,39000,1950,40950,4.4,3707,US,71,7,22
Gateway Education India,Tamil Nadu,Salem,3605,3294,46000,2300,48300,3.6,675,US,75,8,17
Summit Group,Jammu and Kashmir,Jammu,607,412,16000,800,16800,5,3931,Germany,10,11,79
Global Ventures Global,Uttar Pradesh,Noida,3779,2488,64000,3200,67200,3.5,1173,Germany,16,27,57
Horizon Experts India,Delhi,Dwarka,4148,3697,34000,1700,35700,3.8,2437,Germany,30,20,50
Study Mentors Global,Arunachal Pradesh,Itanagar,4977,3332,40000,2000,42000,3.9,2447,Germany,10,15,75
Vision Ventures,Chhattisgarh,Bhilai,2835,2617,18000,900,18900,4.3,905,Germany,6,47,47
Gateway Guidance,Himachal Pradesh,Solan,1678,1556,35000,1750,36750,4,4242,UK,19,69,12
Pioneer Ventures,Jammu and Kashmir,Srinagar,2091,1336,64000,3200,67200,4.6,2746,US,48,47,5
Gateway Pathways India,Delhi,Dwarka,2977,2135,65000,3250,68250,3.5,2764,UK,14,63,23
Premier Mentors International,Uttarakhand,Haridwar,3714,2458,16000,800,16800,3.4,59,US,56,16,28
Path Guidance,Manipur,Churachandpur,2131,1386,53000,2650,55650,3.5,1699,Germany,8,23,69
Summit Group,Nagaland,Mokokchung,984,894,45000,2250,47250,3,3361,Germany,7,16,77
Pinnacle Services Network,Jharkhand,Jamshedpur,3535,3310,50000,2500,52500,3,3638,Germany,19,35,46
Summit Experts India,Uttarakhand,Haldwani,912,696,19000,950,19950,4.2,4012,US,58,5,37
Premier Guidance,Telangana,Karimnagar,4425,3565,56000,2800,58800,3.6,3144,UK,15,54,31
Pinnacle Advisors,West Bengal,Durgapur,2720,1988,18000,900,18900,5,4982,US,72,21,7
Horizon Guidance,Tripura,Dharmanagar,4771,3057,50000,2500,52500,4.5,2218,US,62,13,25
Vision Experts,Delhi,Rohini,717,542,15000,750,15750,3.4,974,UK,13,54,33
Overseas Advisors,Sikkim,Gyalshing,3249,2064,28000,1400,29400,4.3,3507,US,69,20,11
Pioneer Experts,Jharkhand,Deoghar,648,442,45000,2250,47250,3.1,3312,Germany,6,28,66
Elite Solutions,Sikkim,Gyalshing,959,719,18000,900,18900,3.5,2699,UK,10,68,22
Premier Services,Meghalaya,Jowai,2773,2335,22000,1100,23100,3.3,1279,Germany,23,12,65
Summit Group,Jammu and Kashmir,Kathua,948,786,67000,3350,70350,3.5,1572,UK,7,70,23
Vision Mentors International,Jharkhand,Bokaro,278,244,59000,2950,61950,4.7,3720,Germany,12,34,54
Edu Services,Goa,Panaji,3079,1936,57000,2850,59850,3.5,148,US,60,13,27
Path Services,Nagaland,Dimapur,3205,2038,51000,2550,53550,4.1,4458,US,50,41,9
Pioneer Pathways,Gujarat,Ahmedabad,4332,3528,56000,2800,58800,3.5,1697,US,48,8,44
Gateway Ventures,Uttarakhand,Rishikesh,75,69,54000,2700,56700,4.8,493,Germany,23,5,72
Vision Solutions,Karnataka,Mangaluru,75,64,58000,2900,60900,4.4,2187,Germany,29,12,59
Future Experts,Odisha,Cuttack,1849,1125,52000,2600,54600,4.2,4423,Germany,28,14,58
Summit Mentors,Kerala,Kochi,3282,2541,41000,2050,43050,4.1,1821,US,73,8,19
Edu Guidance,Mizoram,Kolasib,4736,3444,56000,2800,58800,4.3,4736,UK,19,65,16
Elite Education,Karnataka,Mysuru,4324,2720,56000,2800,58800,3.6,2436,US,63,16,21
Gateway Education,Mizoram,Aizawl,753,540,13000,650,13650,4.6,1715,US,71,20,9
Summit Guidance Global,Sikkim,Gangtok,1584,983,72000,3600,75600,3.4,4397,US,68,9,23
Future Ventures,Odisha,Rourkela,3405,2886,10000,500,10500,4.2,983,UK,32,55,13
Global Group,Meghalaya,Williamnagar,3086,2142,45000,2250,47250,4.1,3839,Germany,20,22,58
Overseas Services,West Bengal,Kolkata,1575,1230,40000,2000,42000,4.8,2199,UK,15,55,30
Gateway Education,Mizoram,Champhai,220,166,16000,800,16800,4.7,2750,UK,16,49,35
Global Group,Karnataka,Bengaluru,3470,2863,48000,2400,50400,3.4,1457,UK,28,61,11
Elite Group,Goa,Margao,732,680,14000,700,14700,3.4,3113,US,51,34,15
Summit Services,Maharashtra,Nagpur,3582,2269,32000,1600,33600,4.5,1496,US,48,41,11
Path Education,Jharkhand,Ranchi,4869,4282,50000,2500,52500,3.3,4601,Germany,21,14,65
Pinnacle Pathways Network,Kerala,Thiruvananthapuram,2506,2107,54000,2700,56700,4.6,2790,UK,15,79,6
Edu Services,Uttarakhand,Roorkee,105,95,52000,2600,54600,3.9,997,Germany,27,16,57
Apex Ventures Network,Maharashtra,Aurangabad,497,362,56000,2800,58800,4.4,1985,UK,31,58,11
Path Mentors Network,Jammu and Kashmir,Anantnag,4782,4106,19000,950,19950,3.3,3287,Germany,17,11,72
Study Advisors,Odisha,Bhubaneswar,233,154,53000,2650,55650,3,3590,Germany,26,29,45
Apex Education International,Gujarat,Ahmedabad,632,485,27000,1350,28350,4.2,2585,US,52,20,28
Horizon Experts Network,Telangana,Warangal,3106,2039,54000,2700,56700,4.9,4424,Germany,17,7,76
Overseas Advisors,Mizoram,Kolasib,4603,2772,37000,1850,38850,3.6,3465,UK,24,70,6
Overseas Education,Assam,Dibrugarh,1280,926,18000,900,18900,4.5,2224,US,60,34,6
Pioneer Experts,Arunachal Pradesh,Itanagar,433,282,23000,1150,24150,4.7,3405,UK,14,56,30
Future Advisors,Bihar,Muzaffarpur,4852,3299,62000,3100,65100,4.3,1224,UK,9,58,33
Pioneer Services International,Rajasthan,Jodhpur,1810,1220,56000,2800,58800,3.7,3344,US,60,33,7
Apex Guidance,Odisha,Rourkela,2102,1438,67000,3350,70350,3.8,4428,US,46,18,36
Horizon Solutions,Jharkhand,Jamshedpur,2857,2085,74000,3700,77700,4.8,2365,UK,11,79,10
Study Group Global,Arunachal Pradesh,Itanagar,1585,1040,26000,1300,27300,4.9,2523,UK,44,48,8
Premier Consultants,Punjab,Amritsar,2490,2242,53000,2650,55650,3.8,2713,Germany,17,17,66
Apex Education,Karnataka,Mysuru,3007,2678,52000,2600,54600,4.4,4276,UK,23,62,15
Path Services,Haryana,Panipat,4970,3866,31000,1550,32550,4.4,3788,Germany,10,11,79
Overseas Pathways,Jammu and Kashmir,Srinagar,1159,737,24000,1200,25200,4,346,Germany,11,25,64
Premier Solutions Network,Maharashtra,Thane,537,496,63000,3150,66150,3.8,2125,US,50,43,7
Summit Experts,Kerala,Thrissur,3328,2360,39000,1950,40950,3.7,176,Germany,5,19,76
Overseas Services,Mizoram,Serchhip,1848,1202,37000,1850,38850,3.3,4718,US,59,27,14
Premier Guidance,Gujarat,Rajkot,1091,862,51000,2550,53550,3.9,4572,US,78,7,15
Horizon Services,Kerala,Kochi,4291,2640,23000,1150,24150,4.3,1600,Germany,29,7,64
Overseas Mentors,Bihar,Bhagalpur,1815,1279,54000,2700,56700,4.9,541,US,60,15,25
Global Experts,Sikkim,Gyalshing,3678,2684,36000,1800,37800,3.7,4942,UK,6,72,22
Apex Solutions,Maharashtra,Pune,1906,1687,60000,3000,63000,3.8,1525,Germany,12,8,80
Future Ventures,Punjab,Bathinda,1751,1555,47000,2350,49350,3,1156,UK,11,71,18
Path Experts,Haryana,Gurugram,4251,3797,39000,1950,40950,4.9,50,US,74,18,8
Future Services International,West Bengal,Darjeeling,1589,1033,38000,1900,39900,3,3629,UK,20,69,11
Overseas Education Global,Jammu and Kashmir,Jammu,3827,2965,58000,2900,60900,3.2,331,US,64,9,27
Global Education International,Uttar Pradesh,Lucknow,1394,1114,36000,1800,37800,3.4,3766,UK,7,75,18
Pioneer Mentors,Tamil Nadu,Vellore,2544,1665,32000,1600,33600,3.1,2581,UK,44,47,9
Premier Pathways,Maharashtra,Mumbai,528,364,24000,1200,25200,4.9,74,US,74,21,5
Pinnacle Services,Bihar,Darbhanga,1626,1450,67000,3350,70350,3.8,3199,UK,19,58,23
Vision Ventures,Maharashtra,Aurangabad,1601,1134,19000,950,19950,3.2,4454,Germany,6,27,67
Overseas Ventures,Nagaland,Mokokchung,1377,1149,24000,1200,25200,4.1,96,US,60,12,28
Overseas Guidance,Bihar,Gaya,4493,2943,13000,650,13650,3.3,3799,US,63,28,9
Study Mentors,Odisha,Cuttack,2518,1538,68000,3400,71400,3.6,2103,Germany,38,6,56
Overseas Pathways,Madhya Pradesh,Bhopal,1689,1065,35000,1750,36750,4.6,3411,UK,37,51,12
Path Pathways,Punjab,Ludhiana,1195,943,33000,1650,34650,4.6,1976,UK,7,72,21
Summit Group Global,Meghalaya,Shillong,1537,1392,37000,1850,38850,4.4,3117,US,75,20,5
Study Experts,Bihar,Muzaffarpur,4736,2860,71000,3550,74550,4.6,4870,US,67,6,27
Horizon Mentors,Tripura,Dharmanagar,3528,2550,54000,2700,56700,3.9,4405,US,60,29,11
Future Solutions,Sikkim,Singtam,2655,2439,46000,2300,48300,4.3,4746,Germany,6,20,74
Summit Experts,Uttar Pradesh,Lucknow,3408,2688,29000,1450,30450,4.6,2818,Germany,15,10,75
Edu Group,Bihar,Muzaffarpur,2199,1496,64000,3200,67200,3.9,3684,US,49,12,39
Vision Mentors,Arunachal Pradesh,Bomdila,1623,1177,21000,1050,22050,3,444,US,66,29,5
Overseas Ventures,Andhra Pradesh,Kurnool,4819,3260,75000,3750,78750,3,2751,US,65,11,24
Apex Group,Telangana,Khammam,2542,1825,48000,2400,50400,3.2,4234,UK,24,71,5
Overseas Ventures India,Uttarakhand,Haldwani,3558,2461,44000,2200,46200,3.6,4052,US,48,31,21
Premier Advisors,West Bengal,Howrah,2708,1742,66000,3300,69300,4.7,4791,US,56,28,16
Path Education Network,Gujarat,Vadodara,4608,3502,71000,3550,74550,3.5,435,US,51,19,30
Apex Services,Jharkhand,Bokaro,3123,1979,54000,2700,56700,4.3,3449,UK,10,51,39
Apex Mentors,Mizoram,Champhai,2240,1642,15000,750,15750,3.1,1194,Germany,37,8,55
Gateway Mentors India,Assam,Dibrugarh,470,356,28000,1400,29400,4.7,2872,Germany,24,17,59
Study Mentors,Himachal Pradesh,Solan,518,456,30000,1500,31500,3.3,3902,UK,15,71,14
Future Guidance India,Karnataka,Mysuru,2307,1404,72000,3600,75600,4.5,4210,US,69,12,19
Horizon Experts,Mizoram,Kolasib,2850,2494,75000,3750,78750,4.4,156,UK,13,57,30
Horizon Services,Kerala,Kochi,3131,2358,16000,800,16800,3.7,900,UK,13,78,9
Overseas Group,Rajasthan,Ajmer,2800,2148,20000,1000,21000,4.5,2011,UK,9,75,16
Elite Experts India,Jharkhand,Bokaro,2251,2063,15000,750,15750,3.4,4093,Germany,15,15,70
Pinnacle Pathways,Meghalaya,Tura,1786,1532,53000,2650,55650,3.9,4931,Germany,21,9,70
Premier Pathways,Maharashtra,Nashik,2049,1238,70000,3500,73500,4.2,2820,US,67,14,19
Edu Ventures,West Bengal,Kolkata,3231,2401,19000,950,19950,3.7,213,US,56,32,12
Overseas Services,Sikkim,Gyalshing,4657,2951,48000,2400,50400,3.2,1292,UK,8,59,33
Vision Education,Uttarakhand,Rishikesh,426,366,25000,1250,26250,4.7,1392,US,59,33,8
Path Solutions,Sikkim,Gyalshing,2723,1889,30000,1500,31500,3.7,978,Germany,7,20,73
Summit Mentors,Bihar,Darbhanga,2401,2096,39000,1950,40950,3.5,4115,UK,8,71,21
Vision Education,Manipur,Bishnupur,1336,938,55000,2750,57750,3.7,3790,US,75,9,16
Study Experts,Kerala,Kochi,4754,3672,24000,1200,25200,4,3721,Germany,13,30,57
Premier Experts,Punjab,Chandigarh,884,823,49000,2450,51450,3.2,833,US,46,25,29
Apex Consultants Global,Gujarat,Rajkot,3825,2542,15000,750,15750,3.3,4169,Germany,8,32,60
Pioneer Experts Network,Odisha,Sambalpur,62,39,69000,3450,72450,3.5,1604,UK,38,53,9
Summit Advisors Global,Sikkim,Mangan,4873,3551,12000,600,12600,4.4,4587,US,62,13,25
Premier Services,Meghalaya,Williamnagar,3224,2392,15000,750,15750,3.6,3197,Germany,10,24,66
Pinnacle Solutions,Chhattisgarh,Raipur,2510,2381,22000,1100,23100,4.8,1222,Germany,16,18,66
Overseas Mentors,Jammu and Kashmir,Baramulla,1610,1507,59000,2950,61950,3.9,4088,UK,16,49,35
Pinnacle Guidance,Gujarat,Jamnagar,2506,2156,31000,1550,32550,4.2,3030,US,68,7,25
Pinnacle Consultants,Arunachal Pradesh,Ziro,1302,1150,24000,1200,25200,3.3,3498,US,75,20,5
Edu Advisors,Jharkhand,Jamshedpur,4298,2806,36000,1800,37800,3.7,3310,UK,31,62,7
Horizon Pathways,Jharkhand,Ranchi,791,508,32000,1600,33600,3.4,2953,US,58,32,10
Pioneer Advisors,Gujarat,Vadodara,3862,2609,24000,1200,25200,4.3,598,UK,18,68,14
Edu Guidance,Tamil Nadu,Chennai,2055,1938,49000,2450,51450,3.1,541,US,57,20,23
Horizon Solutions,Gujarat,Ahmedabad,3799,3344,55000,2750,57750,4.9,3644,UK,16,57,27
Apex Education,Gujarat,Surat,2661,1713,34000,1700,35700,4.2,1313,UK,20,52,28
Vision Pathways,Nagaland,Wokha,4916,4040,47000,2350,49350,4.8,3377,US,57,27,16
Edu Mentors Network,Odisha,Sambalpur,3335,2638,70000,3500,73500,4.4,3671,UK,21,49,30
Edu Guidance,Odisha,Cuttack,1585,1452,28000,1400,29400,4.4,2171,Germany,14,24,62
Study Mentors,Kerala,Kozhikode,2429,1764,42000,2100,44100,4.9,79,Germany,34,19,47
Apex Group,Odisha,Bhubaneswar,1620,1184,67000,3350,70350,4.5,2058,UK,18,52,30
Path Solutions India,Goa,Panaji,2390,1874,18000,900,18900,3,4887,UK,35,49,16
Global Solutions,West Bengal,Durgapur,2199,1380,14000,700,14700,4.7,3327,Germany,32,6,62
Horizon Education,Sikkim,Namchi,2185,2004,72000,3600,75600,3.8,118,US,45,8,47
Summit Consultants,Telangana,Warangal,803,633,70000,3500,73500,3.2,1435,Germany,7,21,72
Elite Ventures,Uttarakhand,Rishikesh,3746,2745,22000,1100,23100,4.9,1719,US,80,7,13
Pinnacle Education International,Himachal Pradesh,Solan,3102,2902,73000,3650,76650,3.9,1455,Germany,23,9,68
Edu Guidance,Nagaland,Kohima,4994,4498,51000,2550,53550,3.6,2281,Germany,9,20,71
Horizon Experts,Punjab,Chandigarh,3154,2528,53000,2650,55650,4.5,3543,US,45,25,30
Gateway Ventures,Himachal Pradesh,Dharamshala,3972,2702,25000,1250,26250,4.9,228,UK,7,54,39
Future Consultants,Gujarat,Jamnagar,85,51,55000,2750,57750,4.3,1221,UK,11,62,27
Study Solutions India,Rajasthan,Bikaner,3687,3347,19000,950,19950,3.8,1458,Germany,9,11,80
Overseas Education Network,Kerala,Kollam,2858,1810,75000,3750,78750,3.8,160,Germany,10,22,68
Horizon Advisors India,Odisha,Bhubaneswar,4408,3570,60000,3000,63000,4.7,2793,US,73,11,16
Path Advisors,Haryana,Gurugram,3283,2725,48000,2400,50400,3.2,3050,Germany,7,22,71
Global Services International,Himachal Pradesh,Dharamshala,2199,1924,73000,3650,76650,3.6,948,UK,27,54,19
Study Pathways,Goa,Margao,4732,4133,17000,850,17850,3,3917,UK,14,53,33
Pioneer Education,Punjab,Amritsar,556,410,34000,1700,35700,4.1,1618,Germany,18,13,69
Path Group,Odisha,Rourkela,4028,3762,53000,2650,55650,3.9,1585,Germany,11,12,77
Study Services,Delhi,Dwarka,2305,1545,61000,3050,64050,4.4,846,US,76,7,17
Global Solutions,Gujarat,Ahmedabad,4576,3663,47000,2350,49350,3.9,3688,US,66,28,6
Study Ventures,Tripura,Ambassa,1691,1559,37000,1850,38850,3.4,799,US,76,17,7
Overseas Services,Rajasthan,Bikaner,2161,1792,25000,1250,26250,3.3,1056,Germany,39,15,46
Summit Solutions India,Kerala,Kollam,4674,3763,53000,2650,55650,4.8,1374,Germany,18,5,77
Premier Pathways,Tamil Nadu,Madurai,4745,2976,44000,2200,46200,3,2653,US,53,21,26
Pinnacle Advisors India,Rajasthan,Jodhpur,866,733,37000,1850,38850,3.5,4825,Germany,5,18,77
Edu Guidance,Nagaland,Kohima,1858,1557,74000,3700,77700,4.1,1827,US,63,6,31
Horizon Guidance,Arunachal Pradesh,Itanagar,4894,3575,42000,2100,44100,4.1,41,UK,14,65,21
Study Advisors,Gujarat,Ahmedabad,3391,2470,58000,2900,60900,4.2,3220,UK,14,74,12
Global Guidance,Karnataka,Mangaluru,3398,2902,30000,1500,31500,4.7,4646,Germany,31,17,52
Premier Solutions,Gujarat,Surat,4224,3698,48000,2400,50400,4.5,4369,Germany,7,25,68
Future Pathways International,Gujarat,Vadodara,3823,3214,31000,1550,32550,4,1294,UK,25,70,5
Horizon Pathways,Sikkim,Namchi,4744,3361,32000,1600,33600,3.6,2794,US,78,9,13
Global Experts,Himachal Pradesh,Shimla,331,301,22000,1100,23100,3.1,1042,Germany,12,20,68
Premier Advisors Network,Uttarakhand,Roorkee,3663,2338,28000,1400,29400,3.9,3654,Germany,25,10,65
Edu Experts Network,Gujarat,Gandhinagar,1002,820,57000,2850,59850,3.2,3803,US,64,7,29
Horizon Advisors,Karnataka,Mangaluru,2848,1928,52000,2600,54600,3.8,769,UK,17,73,10
Overseas Advisors,Madhya Pradesh,Ujjain,4049,3421,16000,800,16800,4.8,4578,US,49,12,39
Elite Guidance,Delhi,Connaught Place,2764,2283,64000,3200,67200,4,3764,US,61,7,32
Summit Consultants,Jharkhand,Jamshedpur,4863,3031,44000,2200,46200,3.4,119,US,67,9,24
Summit Consultants India,Odisha,Sambalpur,4529,3135,14000,700,14700,4.9,704,UK,13,80,7
Elite Experts India,Bihar,Darbhanga,4008,2588,21000,1050,22050,4.1,2642,Germany,10,41,49
Vision Solutions India,Bihar,Patna,544,365,69000,3450,72450,3.4,1238,UK,14,73,13
Study Group,Gujarat,Rajkot,4088,2935,57000,2850,59850,3.8,89,UK,27,57,16
Summit Experts,Arunachal Pradesh,Pasighat,3728,2513,57000,2850,59850,4.4,641,US,59,27,14
Global Ventures,Gujarat,Rajkot,2298,2067,62000,3100,65100,4.6,4228,UK,20,63,17
Pioneer Advisors International,Rajasthan,Udaipur,2752,2375,16000,800,16800,3.3,2299,Germany,46,7,47
Elite Ventures,Uttar Pradesh,Agra,748,492,52000,2600,54600,3,2689,US,58,32,10
Edu Pathways,Tamil Nadu,Chennai,2212,1425,70000,3500,73500,3.9,778,US,53,12,35
Pinnacle Group,Tamil Nadu,Salem,2502,1680,57000,2850,59850,4.4,2018,US,75,19,6
Edu Mentors,Haryana,Panipat,1885,1752,38000,1900,39900,4.2,197,Germany,28,5,67
Edu Pathways,Tamil Nadu,Vellore,79,49,56000,2800,58800,4.2,4020,UK,5,61,34
Global Consultants,Tripura,Kailashahar,4912,3482,32000,1600,33600,4.1,4764,Germany,9,18,73
Gateway Ventures,Punjab,Jalandhar,1704,1416,59000,2950,61950,4.1,1588,UK,14,73,13
Vision Solutions,West Bengal,Kolkata,4750,2946,33000,1650,34650,4.5,2816,US,72,7,21
Vision Consultants India,Tripura,Kailashahar,2713,2339,66000,3300,69300,4,101,UK,7,80,13
Future Guidance,Maharashtra,Mumbai,238,145,13000,650,13650,4.8,333,UK,26,51,23
Edu Guidance,Bihar,Muzaffarpur,4569,3755,45000,2250,47250,4.6,1152,Germany,19,10,71
Vision Guidance,Odisha,Sambalpur,193,126,45000,2250,47250,3.9,1878,UK,19,75,6
Vision Advisors,Rajasthan,Udaipur,4657,4350,58000,2900,60900,3,1431,Germany,38,9,53
Gateway Pathways,Odisha,Cuttack,3992,2505,60000,3000,63000,4.4,2605,US,54,28,18
Horizon Services,Uttar Pradesh,Kanpur,3221,2648,43000,2150,45150,4.6,368,US,77,15,8
Edu Pathways,Uttarakhand,Haridwar,3388,3153,34000,1700,35700,3.5,3418,US,64,21,15
Gateway Group,Bihar,Bhagalpur,1224,1054,23000,1150,24150,4.9,3918,UK,20,54,26
Global Experts International,Chhattisgarh,Korba,4409,3682,72000,3600,75600,3.2,2917,UK,21,51,28
Global Mentors,Uttarakhand,Rishikesh,2324,1485,62000,3100,65100,4.4,3297,Germany,12,18,70
Edu Advisors International,Goa,Margao,851,541,66000,3300,69300,3.3,252,UK,21,74,5
Premier Consultants Global,Manipur,Ukhrul,2608,1574,23000,1150,24150,3.4,1372,Germany,37,8,55
Overseas Mentors,Nagaland,Mokokchung,4487,2851,23000,1150,24150,3.8,3408,Germany,11,9,80
Premier Advisors,West Bengal,Siliguri,2754,2329,30000,1500,31500,3.8,3822,UK,19,49,32
Future Education,Tamil Nadu,Coimbatore,4067,3794,52000,2600,54600,4.8,1925,US,46,45,9
Future Advisors,West Bengal,Kolkata,1808,1206,25000,1250,26250,3.8,4079,UK,30,51,19
Summit Group,Manipur,Imphal,1860,1666,48000,2400,50400,4.5,3183,US,73,17,10
Global Experts,Arunachal Pradesh,Tawang,1410,976,10000,500,10500,3.4,1611,Germany,11,28,61
Horizon Group India,Himachal Pradesh,Solan,1749,1444,59000,2950,61950,4.8,1150,US,48,8,44
Summit Ventures,Nagaland,Mokokchung,796,632,74000,3700,77700,4,2672,UK,17,75,8
Study Consultants,Andhra Pradesh,Vijayawada,1548,969,57000,2850,59850,3.8,2784,Germany,19,31,50
Path Solutions,Gujarat,Surat,2117,1972,32000,1600,33600,4.9,1207,Germany,24,13,63
Apex Services,Andhra Pradesh,Tirupati,317,247,25000,1250,26250,4.1,497,UK,10,77,13
Pioneer Guidance,Jharkhand,Ranchi,4143,3798,74000,3700,77700,4.6,4755,UK,30,57,13
Global Pathways,Tripura,Agartala,1137,1040,46000,2300,48300,4.9,4438,Germany,16,7,77
Edu Solutions,Uttar Pradesh,Prayagraj,4448,4095,27000,1350,28350,4.6,2460,UK,13,56,31
Gateway Group,Arunachal Pradesh,Pasighat,1814,1653,35000,1750,36750,4.2,2999,Germany,11,16,73
Global Pathways International,Odisha,Cuttack,2882,2232,38000,1900,39900,3.5,724,Germany,29,20,51
Future Education India,Kerala,Kollam,4996,4351,12000,600,12600,3,4424,US,79,5,16
Pioneer Advisors,Manipur,Ukhrul,1039,717,10000,500,10500,3.8,4848,Germany,8,29,63
Summit Consultants,Meghalaya,Jowai,1624,1257,62000,3100,65100,3.3,2137,US,58,6,36
Path Education,Bihar,Muzaffarpur,2122,1630,59000,2950,61950,4.6,901,UK,8,68,24
Global Mentors,Andhra Pradesh,Nellore,4710,3596,24000,1200,25200,3.3,2672,UK,21,71,8
Edu Group,Nagaland,Wokha,2220,1841,56000,2800,58800,4.3,3145,Germany,13,41,46
Elite Advisors,Arunachal Pradesh,Pasighat,3834,2538,21000,1050,22050,3.2,406,UK,5,52,43
Edu Experts,Kerala,Thiruvananthapuram,3623,2265,19000,950,19950,4.6,4080,Germany,29,8,63
Study Education,Karnataka,Mysuru,4262,3947,29000,1450,30450,3.3,4690,US,51,8,41
Summit Education,Karnataka,Bengaluru,2618,1813,33000,1650,34650,3.7,2417,Germany,31,12,57
Study Experts,Tamil Nadu,Chennai,2405,1929,20000,1000,21000,4,247,UK,5,57,38
Gateway Solutions,Odisha,Cuttack,403,273,14000,700,14700,3.5,4389,Germany,38,17,45
Study Group,Arunachal Pradesh,Pasighat,1270,1200,67000,3350,70350,3.1,1491,US,48,14,38
Pinnacle Mentors,West Bengal,Asansol,670,532,51000,2550,53550,3.4,3715,UK,7,60,33
Pioneer Advisors,Andhra Pradesh,Visakhapatnam,965,888,48000,2400,50400,4.2,4568,US,59,11,30
Future Ventures,Mizoram,Lunglei,4698,4048,46000,2300,48300,4.7,2377,UK,9,49,42
Elite Guidance,Uttarakhand,Roorkee,4914,3290,38000,1900,39900,3.1,1637,Germany,42,8,50
Edu Services Network,Punjab,Patiala,729,660,29000,1450,30450,3.4,38,UK,13,69,18
